11:52:39.890 [main] INFO  com.cs.dms.Application - org.springframework.boot.actuate.autoconfigure.env.EnvironmentEndpointAutoConfiguration
11:52:39.890 [main] INFO  com.cs.dms.Application - org.springframework.boot.actuate.autoconfigure.flyway.FlywayEndpointAutoConfiguration
11:52:39.890 [main] INFO  com.cs.dms.Application - org.springframework.boot.actuate.autoconfigure.health.HealthEndpointAutoConfiguration
11:52:39.890 [main] INFO  com.cs.dms.Application - org.springframework.boot.actuate.autoconfigure.health.HealthEndpointConfiguration
11:52:39.890 [main] INFO  com.cs.dms.Application - org.springframework.boot.actuate.autoconfigure.health.HealthEndpointWebExtensionConfiguration
11:52:39.890 [main] INFO  com.cs.dms.Application - org.springframework.boot.actuate.autoconfigure.health.HealthEndpointWebExtensionConfiguration$ServletWebHealthConfiguration
11:52:39.890 [main] INFO  com.cs.dms.Application - org.springframework.boot.actuate.autoconfigure.health.HealthIndicatorAutoConfiguration
11:52:39.891 [main] INFO  com.cs.dms.Application - org.springframework.boot.actuate.autoconfigure.info.InfoContributorAutoConfiguration
11:52:39.891 [main] INFO  com.cs.dms.Application - org.springframework.boot.actuate.autoconfigure.info.InfoEndpointAutoConfiguration
11:52:39.891 [main] INFO  com.cs.dms.Application - org.springframework.boot.actuate.autoconfigure.jdbc.DataSourceHealthIndicatorAutoConfiguration
11:52:39.891 [main] INFO  com.cs.dms.Application - org.springframework.boot.actuate.autoconfigure.logging.LogFileWebEndpointAutoConfiguration
11:52:39.891 [main] INFO  com.cs.dms.Application - org.springframework.boot.actuate.autoconfigure.logging.LoggersEndpointAutoConfiguration
11:52:39.891 [main] INFO  com.cs.dms.Application - org.springframework.boot.actuate.autoconfigure.management.HeapDumpWebEndpointAutoConfiguration
11:52:39.891 [main] INFO  com.cs.dms.Application - org.springframework.boot.actuate.autoconfigure.management.ThreadDumpEndpointAutoConfiguration
11:52:39.891 [main] INFO  com.cs.dms.Application - org.springframework.boot.actuate.autoconfigure.metrics.CompositeMeterRegistryAutoConfiguration
11:52:39.891 [main] INFO  com.cs.dms.Application - org.springframework.boot.actuate.autoconfigure.metrics.MetricsAutoConfiguration
11:52:39.891 [main] INFO  com.cs.dms.Application - org.springframework.boot.actuate.autoconfigure.metrics.MetricsAutoConfiguration$JvmMeterBindersConfiguration
